Designator,Mid X,Mid Y,Rotation,Layer
C1,171.33,-55.9725,180.0,top
C10,176.365,-62.6625,90.0,top
C11,175.415,-62.6625,90.0,top
C12,154.14,-62.15,90.0,top
C13,157.15,-65.62,180.0,top
C14,162.25,-51.96,0.0,top
C15,163.42,-52.9,0.0,top
C16,163.97,-53.88,0.0,top
C17,164.0,-57.78,0.0,top
C18,159.78,-62.45,270.0,top
C19,153.8175,-57.61,180.0,top
C2,175.82,-61.2425,180.0,top
C20,158.53,-50.67,90.0,top
C21,154.2775,-54.41,270.0,top
C22,160.76,-61.69,270.0,top
C23,162.26,-50.98,0.0,top
C24,160.83,-51.52,270.0,top
C25,168.07,-54.4,0.0,top
C26,167.88,-48.7775,180.0,top
C27,158.13,-47.11,270.0,top
C3,174.02,-55.9925,180.0,top
C4,175.9,-56.8725,270.0,top
C5,175.75,-58.7625,90.0,top
C6,169.975,-67.78,270.0,top
C7,172.8275,-69.65,270.0,top
C8,172.385,-71.07,0.0,top
C9,172.385,-73.95,0.0,top
FB1,160.08,-48.585,0.0,top
FL1,173.13,-64.2,270.0,top
J1,172.94,-78.97,270.0,top
J2,164.67,-43.23,180.0,top
L1,172.815,-72.51,270.0,top
L2,173.24,-55.0225,180.0,top
L3,173.995,-62.3025,180.0,top
R1,170.9475,-67.78,270.0,top
R2,158.56,-63.51,90.0,top
R3,164.68,-48.89,90.0,top
R4,163.62,-48.89,270.0,top
R5,164.31,-62.29,0.0,top
R6,149.37,-45.79,270.0,top
R7,165.87,-48.975,270.0,top
R8,162.03,-48.54,180.0,top
R9,152.82,-53.68,90.0,top
SW1,153.1025,-43.995,180.0,top
SW2,162.46,-66.2,90.0,top
U1,158.92,-56.58,90.0,top
U2,172.63,-59.1125,270.0,top
U3,172.86,-67.09,90.0,top
U4,167.92,-51.57,90.0,top
U5,152.9825,-49.525,270.0,top
U6,173.09,-74.71,0.0,top
Y1,177.78,-58.1125,270.0,top
Y2,156.35,-63.06,180.0,top
